meterID,missing_date
820,2016-03-30
820,2016-03-31
820,2016-04-01
820,2016-04-02
820,2016-04-03
820,2016-04-04
820,2016-04-05
820,2016-04-06
820,2016-04-07
820,2016-04-08
820,2016-04-09
820,2016-04-10
820,2016-04-11
820,2016-04-12
820,2016-04-13
820,2016-04-14
820,2016-04-15
820,2016-04-16
820,2016-04-17
820,2016-04-18
820,2016-04-19
820,2016-04-20
820,2016-04-21
820,2016-04-22
820,2016-04-23
820,2016-04-24
820,2016-04-25
820,2016-04-26
820,2016-04-27
820,2016-04-28
820,2016-04-29
820,2016-04-30
820,2016-05-01
820,2016-05-02
820,2016-05-03
820,2016-05-04
820,2016-05-05
820,2016-05-06
820,2016-05-07
820,2016-05-08
820,2016-05-09
820,2016-05-10
820,2017-01-01
820,2017-01-02
820,2017-01-03
820,2017-01-04
820,2017-01-05
820,2017-01-06
820,2017-01-07
820,2017-01-08
820,2017-01-09
820,2017-01-10
820,2017-01-11
820,2017-01-12
820,2017-01-13
820,2017-01-14
820,2017-01-15
820,2017-01-16
820,2017-01-17
820,2017-01-18
820,2017-01-19
820,2017-01-20
820,2017-01-21
820,2017-01-22
820,2017-01-23
820,2017-01-24
820,2017-01-25
820,2017-01-26
820,2017-01-27
820,2017-01-28
820,2017-01-29
820,2017-01-30
933,2016-01-01
933,2016-01-02
933,2016-01-03
933,2016-01-04
933,2016-01-05
933,2016-01-06
933,2016-01-07
933,2016-01-08
933,2016-01-09
933,2016-01-10
933,2016-01-11
933,2016-01-12
933,2016-01-13
933,2016-01-14
933,2016-01-15
933,2016-01-16
933,2016-01-17
933,2016-01-18
933,2016-01-19
933,2016-01-20
933,2016-01-21
933,2016-01-22
933,2016-01-23
933,2016-01-24
933,2016-01-25
933,2016-01-26
933,2016-01-27
933,2016-01-28
933,2016-01-29
933,2016-01-30
933,2016-01-31
933,2016-02-01
933,2016-02-02
933,2016-02-03
933,2016-02-04
933,2016-02-05
933,2016-02-06
933,2016-02-07
933,2016-02-08
933,2016-02-09
933,2016-02-10
933,2016-02-11
933,2016-02-12
933,2016-02-13
933,2016-02-14
933,2016-02-15
933,2016-02-16
933,2016-02-17
933,2016-02-18
933,2016-02-19
933,2016-02-20
933,2016-02-21
933,2016-02-22
933,2016-02-23
933,2016-02-24
933,2016-02-25
933,2016-02-26
933,2016-02-27
933,2016-02-28
933,2016-02-29
933,2016-03-01
933,2016-03-02
933,2016-03-03
933,2016-03-04
933,2016-03-05
933,2016-03-06
933,2016-03-07
933,2016-03-08
933,2016-03-09
933,2016-03-10
933,2016-03-11
933,2016-03-12
933,2016-03-13
